Price,Number 1,Number 2,Number 3,Number 4
1st Prize,4,7,0,4
2nd Prize,2,4,0,9
3rd Prize,1,2,5,4
Starter,1,8,3,4
Starter,4,1,8,3
Starter,7,1,8,7
Starter,7,9,4,2
Starter,9,1,5,3
Starter,1,9,9,6
Starter,7,0,1,9
Starter,7,9,0,9
Starter,8,3,5,2
Starter,9,3,7,3
Consolation,0,1,3,6
Consolation,3,4,6,9
Consolation,4,8,7,7
Consolation,5,5,5,1
Consolation,7,0,9,2
Consolation,1,9,5,1
Consolation,3,9,8,9
Consolation,5,2,0,8
Consolation,6,1,8,9
Consolation,8,2,7,1
1st Prize,8,4,3,4
2nd Prize,1,5,3,8
3rd Prize,5,3,3,3
Starter,0,1,0,6
Starter,1,6,3,2
Starter,5,2,1,0
Starter,7,1,4,2
Starter,9,1,5,1
Starter,1,4,2,2
Starter,4,6,6,7
Starter,6,4,2,8
Starter,8,4,6,9
Starter,9,7,4,6
Consolation,0,9,4,6
Consolation,2,5,9,9
Consolation,3,9,3,9
Consolation,6,8,0,8
Consolation,8,1,6,7
Consolation,1,1,8,5
Consolation,3,5,0,7
Consolation,6,7,4,1
Consolation,7,6,1,9
Consolation,9,3,9,2
1st Prize,0,2,3,8
2nd Prize,1,5,6,4
3rd Prize,6,6,0,6
Starter,0,7,5,2
Starter,1,3,6,6
Starter,2,4,6,2
Starter,4,2,5,1
Starter,7,4,5,0
Starter,1,0,8,8
Starter,2,1,5,3
Starter,3,7,0,6
Starter,5,8,4,4
Starter,8,6,0,7
Consolation,0,1,7,0
Consolation,1,4,5,0
Consolation,4,0,0,8
Consolation,4,8,2,9
Consolation,8,3,7,7
Consolation,0,2,9,1
Consolation,2,2,3,3
Consolation,4,1,4,9
Consolation,6,7,0,4
Consolation,9,6,0,1
1st Prize,7,7,1,9
2nd Prize,5,7,3,1
3rd Prize,1,7,0,9
Starter,1,0,7,2
Starter,2,0,5,6
Starter,7,5,5,5
Starter,8,6,0,4
Starter,9,4,0,4
Starter,1,6,2,4
Starter,3,6,6,2
Starter,7,7,8,5
Starter,9,2,3,1
Starter,9,5,4,1
Consolation,0,1,1,2
Consolation,2,7,6,9
Consolation,4,5,6,4
Consolation,6,6,8,5
Consolation,9,5,9,5
Consolation,1,8,5,2
Consolation,2,9,1,6
Consolation,5,7,8,5
Consolation,7,0,8,8
Consolation,9,7,1,8
1st Prize,6,4,3,8
2nd Prize,3,8,3,0
3rd Prize,1,4,2,2
Starter,2,0,4,9
Starter,5,3,4,5
Starter,6,1,0,1
Starter,6,9,0,9
Starter,8,3,8,5
Starter,3,1,7,5
Starter,5,3,6,6
Starter,6,8,7,4
Starter,6,9,5,6
Starter,8,4,9,1
Consolation,0,9,3,1
Consolation,2,9,4,1
Consolation,5,2,9,6
Consolation,7,1,1,9
Consolation,8,8,8,7
Consolation,1,2,4,0
Consolation,4,5,7,2
Consolation,6,3,6,6
Consolation,8,5,1,7
Consolation,9,8,9,0
1st Prize,4,7,2,0
2nd Prize,4,0,9,7
3rd Prize,7,2,3,6
Starter,0,4,9,1
Starter,1,1,6,4
Starter,6,0,4,2
Starter,7,5,0,7
Starter,8,7,2,8
Starter,0,8,6,0
Starter,2,7,5,5
Starter,7,1,5,9
Starter,7,9,2,2
Starter,9,6,7,7
Consolation,0,4,4,5
Consolation,2,3,1,5
Consolation,4,7,4,4
Consolation,7,0,4,6
Consolation,8,2,4,8
Consolation,0,8,2,1
Consolation,4,2,3,8
Consolation,5,3,5,9
Consolation,7,3,7,0
Consolation,9,8,1,7
1st Prize,0,0,7,5
2nd Prize,2,8,1,0
3rd Prize,0,0,1,0
Starter,0,2,4,9
Starter,2,2,1,3
Starter,2,5,6,5
Starter,7,5,4,2
Starter,9,0,8,3
Starter,2,1,1,7
Starter,2,5,0,6
Starter,6,3,3,0
Starter,8,1,9,4
Starter,9,8,8,4
Consolation,0,0,0,8
Consolation,1,0,1,2
Consolation,3,3,4,7
Consolation,4,2,3,6
Consolation,8,0,2,6
Consolation,0,4,5,7
Consolation,2,5,4,7
Consolation,3,9,7,0
Consolation,5,7,5,0
Consolation,9,1,1,4
1st Prize,3,8,0,3
2nd Prize,8,1,6,1
3rd Prize,3,5,0,6
Starter,0,5,6,6
Starter,4,5,1,6
Starter,4,9,3,5
Starter,5,0,4,8
Starter,6,5,1,2
Starter,1,5,7,8
Starter,4,6,8,1
Starter,4,9,9,5
Starter,5,7,7,1
Starter,9,6,6,6
Consolation,0,8,2,6
Consolation,1,6,3,8
Consolation,2,6,0,5
Consolation,5,6,3,0
Consolation,8,5,8,1
Consolation,1,5,8,8
Consolation,1,7,2,6
Consolation,4,3,6,0
Consolation,7,8,6,8
Consolation,9,7,4,6
1st Prize,2,9,9,0
2nd Prize,2,8,3,2
3rd Prize,5,2,6,8
Starter,0,7,7,9
Starter,3,9,7,0
Starter,5,8,6,2
Starter,7,2,8,9
Starter,9,4,6,8
Starter,2,9,1,9
Starter,5,5,4,9
Starter,6,3,6,7
Starter,9,4,4,6
Starter,9,5,7,3
Consolation,0,5,9,7
Consolation,2,8,6,4
Consolation,4,6,0,3
Consolation,5,2,2,5
Consolation,7,0,8,0
Consolation,2,1,4,9
Consolation,4,2,6,8
Consolation,4,9,2,2
Consolation,5,7,5,4
Consolation,9,9,6,5
1st Prize,5,1,3,1
2nd Prize,3,4,4,8
3rd Prize,9,9,4,9
Starter,3,4,0,8
Starter,3,6,1,7
Starter,5,0,7,8
Starter,6,3,7,2
Starter,8,2,3,5
Starter,3,5,8,1
Starter,4,4,4,9
Starter,5,3,4,2
Starter,7,5,6,9
Consolation,0,1,8,3
Consolation,3,0,7,1
Consolation,4,1,8,3
Consolation,6,1,8,3
Consolation,6,9,7,7
Consolation,1,4,3,4
Consolation,3,3,0,0
Consolation,5,7,6,3
Consolation,6,6,9,7
Consolation,7,6,6,9
1st Prize,4,0,2,6
2nd Prize,0,1,9,5
3rd Prize,4,5,1,7
Starter,2,2,3,8
Starter,4,3,2,8
Starter,6,7,8,1
Starter,7,0,9,8
Starter,9,6,1,1
Starter,2,8,5,9
Starter,6,6,8,2
Starter,6,9,9,8
Starter,8,3,8,5
Starter,9,7,4,9
Consolation,1,2,3,3
Consolation,3,4,0,9
Consolation,5,0,4,7
Consolation,6,4,1,9
Consolation,7,4,3,7
Consolation,3,4,0,4
Consolation,3,9,5,9
Consolation,5,4,4,4
Consolation,7,0,6,9
Consolation,9,6,5,9
1st Prize,7,9,4,7
2nd Prize,0,0,0,8
3rd Prize,0,1,8,1
Starter,2,6,3,0
Starter,4,2,9,3
Starter,6,9,9,7
Starter,8,1,0,3
Starter,9,4,8,5
Starter,2,8,1,0
Starter,5,7,3,5
Starter,7,8,2,7
Starter,9,0,0,1
Starter,9,8,2,4
Consolation,1,7,1,4
Consolation,2,2,6,7
Consolation,2,8,3,8
Consolation,3,6,1,3
Consolation,5,4,3,9
Consolation,1,9,6,0
Consolation,2,4,7,5
Consolation,3,3,5,4
Consolation,5,3,8,1
Consolation,8,4,2,6
1st Prize,4,1,2,0
2nd Prize,5,0,9,6
3rd Prize,1,0,1,7
Starter,0,8,1,7
Starter,4,5,2,0
Starter,4,6,1,5
Starter,7,1,8,3
Starter,8,5,7,1
Starter,3,3,1,1
Starter,4,5,6,3
Starter,6,1,9,1
Starter,7,2,4,2
Starter,9,7,6,5
Consolation,0,6,2,7
Consolation,3,4,6,9
Consolation,5,7,6,1
Consolation,6,3,6,6
Consolation,8,5,2,5
Consolation,1,9,2,7
Consolation,4,5,7,7
Consolation,5,8,9,0
Consolation,8,3,7,1
Consolation,8,6,9,6
1st Prize,2,4,6,8
2nd Prize,0,1,5,2
3rd Prize,1,4,5,7
Starter,0,3,4,5
Starter,1,1,7,8
Starter,5,8,3,5
Starter,7,0,4,5
Starter,8,7,9,1
Starter,0,3,6,0
Starter,3,8,6,7
Starter,6,1,6,7
Starter,7,1,6,0
Starter,8,9,6,2
Consolation,1,4,1,9
Consolation,4,0,4,7
Consolation,7,1,1,4
Consolation,9,6,0,5
Consolation,9,8,3,9
Consolation,1,7,5,9
Consolation,4,1,9,4
Consolation,9,0,8,2
Consolation,9,6,8,8
Consolation,9,8,8,7
1st Prize,4,7,1,9
2nd Prize,5,7,5,3
3rd Prize,4,2,8,8
Starter,1,4,0,3
Starter,3,8,4,2
Starter,5,9,9,1
Starter,8,2,5,9
Starter,8,9,7,0
Starter,3,6,5,6
Starter,5,5,7,8
Starter,7,4,1,8
Starter,8,9,1,2
Starter,9,1,6,5
Consolation,1,3,8,9
Consolation,2,3,2,2
Consolation,4,2,0,9
Consolation,6,9,1,8
Consolation,7,4,9,4
Consolation,1,6,9,8
Consolation,3,8,1,7
Consolation,6,6,3,8
Consolation,7,3,3,1
Consolation,9,7,3,6
1st Prize,2,3,1,2
2nd Prize,3,5,2,7
3rd Prize,1,7,8,4
Starter,3,0,2,6
Starter,4,4,8,6
Starter,7,0,1,9
Starter,8,4,0,1
Starter,9,0,6,8
Starter,3,1,0,5
Starter,5,5,3,0
Starter,8,2,3,0
Starter,9,0,1,8
Starter,9,4,9,5
Consolation,1,1,7,7
Consolation,2,0,1,0
Consolation,4,0,6,8
Consolation,7,0,1,9
Consolation,7,5,3,7
Consolation,1,4,5,9
Consolation,3,7,6,0
Consolation,7,3,1,3
Consolation,7,9,7,9
1st Prize,6,6,6,3
2nd Prize,4,3,4,9
3rd Prize,8,5,5,9
Starter,0,2,6,9
Starter,1,1,6,1
Starter,3,8,3,2
Starter,6,5,1,6
Starter,0,5,5,5
Starter,1,5,7,9
Starter,5,7,0,3
Starter,6,6,3,6
Starter,9,2,0,4
Consolation,0,0,0,7
Consolation,3,7,3,7
Consolation,7,8,7,9
Consolation,8,5,7,3
Consolation,0,5,9,4
Consolation,4,0,1,0
Consolation,7,9,8,0
Consolation,8,6,9,9
Consolation,9,3,4,2
1st Prize,6,8,9,9
2nd Prize,6,7,4,1
3rd Prize,4,1,7,4
Starter,0,1,4,2
Starter,3,5,7,5
Starter,4,3,1,1
Starter,6,8,7,6
Starter,8,5,6,8
Starter,1,2,7,7
Starter,3,5,8,7
Starter,6,8,2,1
Starter,6,9,2,1
Starter,9,4,8,2
Consolation,0,1,7,0
Consolation,3,2,4,0
Consolation,3,5,8,4
Consolation,8,5,7,1
Consolation,8,9,9,0
Consolation,2,3,3,4
Consolation,3,4,0,4
Consolation,4,5,0,0
Consolation,8,7,9,1
Consolation,9,8,3,4
1st Prize,2,8,7,4
2nd Prize,1,5,5,3
3rd Prize,8,5,5,0
Starter,1,7,6,0
Starter,2,7,0,0
Starter,7,0,1,9
Starter,7,1,8,0
Starter,8,5,7,2
Starter,1,8,6,4
Starter,4,3,7,9
Starter,7,0,9,3
Starter,9,4,4,0
Consolation,2,0,0,0
Consolation,2,8,6,8
Consolation,4,5,4,8
Consolation,7,5,6,6
Consolation,8,8,3,8
Consolation,2,1,1,8
Consolation,3,6,4,4
Consolation,6,5,6,7
Consolation,8,8,0,9
Consolation,9,3,1,4
1st Prize,3,1,9,1
2nd Prize,0,7,6,6
3rd Prize,3,6,6,7
Starter,0,1,9,0
Starter,1,0,6,0
Starter,3,3,2,9
Starter,4,1,5,6
Starter,5,1,6,7
Starter,0,8,8,8
Starter,1,2,9,3
Starter,3,6,9,6
Starter,4,3,8,1
Starter,8,1,1,8
Consolation,0,3,2,7
Consolation,3,2,9,2
Consolation,4,2,1,4
Consolation,7,6,2,0
Consolation,9,7,1,8
Consolation,1,5,9,7
Consolation,3,4,4,5
Consolation,4,2,1,6
Consolation,7,6,3,3
Consolation,9,8,6,6
1st Prize,8,2,3,3
2nd Prize,4,3,9,7
3rd Prize,1,5,3,2
Starter,1,5,5,3
Starter,3,5,5,9
Starter,5,1,6,6
Starter,6,5,5,7
Starter,6,9,6,1
Starter,1,9,4,2
Starter,4,5,6,6
Starter,5,7,2,0
Starter,6,7,5,0
Starter,8,3,3,4
Consolation,0,2,7,6
Consolation,1,1,0,5
Consolation,2,0,4,6
Consolation,5,9,4,3
Consolation,8,2,8,0
Consolation,0,8,1,0
Consolation,1,4,6,2
Consolation,2,6,6,3
Consolation,7,3,2,8
Consolation,9,7,6,6
